video_id,channel_id,rank,component,watch_video_id,bot_name,phase,homepage_level,videopage_level,topic,strategy,note,on_list,manual_label_1-4,exp_stage,on_topic
ottVpZI2PWo,UCft2_ARzEqPmQZSt88XsP2w,0,homepage,,alt-right_delete_1,stain,39,40,alt-right,delete,1,False,False,2,False
jYAC1MWL5mw,UCzwAr7ne4CzL-DHpPcVN-PA,1,homepage,,alt-right_delete_1,stain,39,40,alt-right,delete,1,False,False,2,False
E8CAAepdUSA,UC_ynzI9eLoSV2wXXoURzSeQ,2,homepage,,alt-right_delete_1,stain,39,40,alt-right,delete,1,False,False,2,False
j4g2uuCeSPs,UCDKJdFer1phQI95UinPZehw,3,homepage,,alt-right_delete_1,stain,39,40,alt-right,delete,1,False,False,2,False
43g9HMk4TE8,UCN0-RRaxMgh86eOwndAklxw,4,homepage,,alt-right_delete_1,stain,39,40,alt-right,delete,1,True,,2,True
cv1Eh-yLUY0,UCI5F3u2GH1UDL83dzd08bDg,5,homepage,,alt-right_delete_1,stain,39,40,alt-right,delete,1,False,False,2,False
DWWK05t98os,UCq6VFHwMzcMXbuKyG7SQYIg,6,homepage,,alt-right_delete_1,stain,39,40,alt-right,delete,1,False,False,2,False
GwLhaQCAk4U,UCGpsPLQNPisvIluBCL5NRuA,7,homepage,,alt-right_delete_1,stain,39,40,alt-right,delete,1,False,False,2,False
ojqTjKQs5Hs,UCO01ytfzgXYy4glnPJm4PPQ,8,homepage,,alt-right_delete_1,stain,39,40,alt-right,delete,1,False,False,2,False
jfKfPfyJRdk,UCSJ4gkVC6NrvII8umztf0Ow,9,homepage,,alt-right_delete_1,stain,39,40,alt-right,delete,1,False,False,2,False
uEcz8I64Mz0,UCGaVdbSav8xWuFWTadK6loA,0,homepage,,alt-right_delete_1,scrub,79,42,alt-right,delete,1,False,False,3,False
-4wT8dc1dc4,UC6CLkxOWW-TxdGM9yVTyDfQ,1,homepage,,alt-right_delete_1,scrub,79,42,alt-right,delete,1,False,False,3,False
jfKfPfyJRdk,UCSJ4gkVC6NrvII8umztf0Ow,2,homepage,,alt-right_delete_1,scrub,79,42,alt-right,delete,1,False,False,3,False
YebZyAzLZuc,UCzQUP1qoWDoEbmsQxvdjxgQ,3,homepage,,alt-right_delete_1,scrub,79,42,alt-right,delete,1,False,False,3,False
yxR24JMAE0c&list=RDCMUCqDUhDiWJdk3inMxtEPOUWw&start_radio=1,,4,homepage,,alt-right_delete_1,scrub,79,42,alt-right,delete,1,False,,3,False
YGsG2aCtt8E,UCJI4ZOQ_0R1HbWmIPY3DTLg,5,homepage,,alt-right_delete_1,scrub,79,42,alt-right,delete,1,False,False,3,False
v8B9JXMFxBI,UCXu3Qcw018ZNU0qJ3hVn9mQ,6,homepage,,alt-right_delete_1,scrub,79,42,alt-right,delete,1,False,False,3,False
RCu4G_ZkBI0,UCFuzExfO2fUVmNK5_COvsNg,7,homepage,,alt-right_delete_1,scrub,79,42,alt-right,delete,1,False,False,3,False
apgtcPEoLGs,UCfsuI3-92QNO3DVy06PO9wg,8,homepage,,alt-right_delete_1,scrub,79,42,alt-right,delete,1,False,False,3,False
eE2-zYEldGc,UCn8zNIfYAQNdrFRrr8oibKw,9,homepage,,alt-right_delete_1,scrub,79,42,alt-right,delete,1,False,False,3,False
