rank,video_id,channel_id,topic,strategy,on_topic,potential_other_category,update_required,notes
7,mSdukBny4SQ,UCjzc6KWjzKosSGw0VkIHaaw,alt-right,dislike-recommendation,FALSE,,,Danica Patrick show- no current events (so cannot be politics either)
4,Ooo3IOHy4x4,UCtOdHuKfct5Wv5TYdnVs-rQ,alt-right,dislike-recommendation,FALSE,,,home videos
9,Thl4kNDejtA,UCFwbfx4RtT6RQU-S5tHHIxA,antitheist,dislike,FALSE,,,memes
4,WVl3BJoEoAU,UC1yBKRuGpC1tSM73A0ZjYjQ,antitheist,dislike-recommendation,FALSE,politics-left,,Young Turks
9,6Bl19IKkKjU,UCezvRYYMyyBDH8g0IwA3Caw,antitheist,dislike-recommendation,FALSE,,,not enough videos
4,ecQETvGvsr0,UCo6JSNp6SuUKf-yiaBQReNA,politics-left,no-channel,TRUE,,,easy from title cards
9,2Vwal-FySkQ,UCKAs3wF6aKOpUhEhNYTiaAA,politics-left,no-channel,FALSE,,,book readings
9,lUh5try7DUQ,UCDvJcb8Adv-_bOrtnRLmiDw,politics-right,no-channel,FALSE,,,not biased according to MBFC
6,J1_67ZqDeyc,UCktceZtn0Kxd53qjjM2KzqA,politics-right,not-interested,FALSE,,,not biased according to MBFC
