channel_id,topic,on_topic,update_required,notes
UCFN4JkGP_bVhAdBsoV9xftA,alt-right,FALSE,,Wrestling
UCO4AcsPKEkIqDmbeiZLfd1A,alt-right,FALSE,,MMBA
UCJ24N4O0bP7LGLBDvye7oCA,alt-right,FALSE,,minimalist documentarian
UCNye-wNBqNL5ZzHSJj3l8Bg,alt-right,FALSE,,Al Jazeera English
UClKKyAj0n1wCL9LWgwsBqZw,alt-right,FALSE,,nba
UCynijyjqY-u6z8_sGKgCErg,alt-right,FALSE,,Medeival rap?
UCc6ptziWAuO0B1LJerHBnEw,alt-right,FALSE,,not English
UCazUXVzSbFvkyAEf69Cl19Q,alt-right,FALSE,,WWE
UCHD8kje7Izx5IYO2WWpoUYA,alt-right,FALSE,,sports
UCdqp0KK_Io7TwK5cJMBvB0Q,alt-right,FALSE,,big vehicle guy (but parodies because he doesn't ride them?)
UCoMVLSQruVWrmeUsbD3kKBA,alt-right,FALSE,,Korean not English
UC5X8wA2pn9sbD765c-rmkMg,alt-right,FALSE,,Celtic/Nordic songs
UCMIjEnXruVHtvgSVf6TgfUg,alt-right,FALSE,,modern homesteading
UCl9E4Zxa8CVr2LBLD0_TaNg,alt-right,FALSE,,sports
UCX6b17PVsYBQ0ip5gyeme-Q,alt-right,FALSE,,crash course
UCUXcXqfOOrNe7e594x9QaPQ,alt-right,FALSE,,cartoons of videogame characters
UC7wVlsDtCCSg5_3u0aj2laQ,alt-right,FALSE,,WWII videos
UCYTzgvkPTCIn3PybVnbGD7w,alt-right,FALSE,,Better Call Saul
UC9gPDZ8jKfX2bkaJW9BiH_g,alt-right,FALSE,,Car garage
UC7_gcs09iThXybpVgjHZ_7g,alt-right,FALSE,,PBS Space Time
UCi-PULMg2eD_v5AO0PlW4sg,alt-right,FALSE,,D&D Game
UC3Hc3eyqALYSX0WKfqbO13Q,alt-right,FALSE,,music
UCftwRNsjfRo08xYE31tkiyw,alt-right,FALSE,,WIRED
UCsI7M50iRdY6f_9SZVletjw,alt-right,FALSE,,dog
UCIf44toFAHLORJ8dwEQkh9g,alt-right,FALSE,,wwe
UC18ju52OET36bdewLRHzPdQ,alt-right,FALSE,,video editor
UCnE-X64VaB7WQ4cPgdc3n3Q,alt-right,FALSE,,musician
UCzYGlXciaD597XXSW5rFFhg,alt-right,FALSE,,vlog
UCYenDLnIHsoqQ6smwKXQ7Hg,antitheist,FALSE,,crazy things on video
UCzSSoloGEz10HALUAbYhngQ,antitheist,FALSE,,viral videos
UCg27gc9RKajj2tcMJZ5dXnA,antitheist,TRUE,,Chris Hitchens
UC_qE-Obs2ocdmPXY0TIU-cw,antitheist,FALSE,,traveling tips
UCIPvxxHtvyQ4fSTj5JWpzog,antitheist,FALSE,,
UCbmNph6atAoGfqLoCL_duAg,antitheist,FALSE,,
UCCj956IF62FbT7Gouszaj9w,antitheist,FALSE,,BBC
UCPD_bxCRGpmmeQcbe2kpPaA,antitheist,FALSE,,first we feast
UC8pKJFXl5JCz8_pBHt9_4FQ,antitheist,FALSE,,crazy industrial vehicles
UChPE75Fvvl1HmdAsO7Nzb8w,antitheist,FALSE,,old TV
UCy-myMJ0TRg4AVd-ruWcZQA,antitheist,FALSE,,not English
UCrPseYLGpNygVi34QpGNqpA,antitheist,FALSE,,Tik Toker
UCrWmonkmTk5NbvmVnc7f70w,antitheist,FALSE,,lawyer guy
UClqhvGmHcvWL9w3R48t9QXQ,antitheist,FALSE,,
UCu_u-P3cBFO7D-sAjxd_I-w,antitheist,FALSE,,The Agenda with Steve Paikin (news)
UCV6g95OBbVtFmN9uiJzkFqQ,antitheist,FALSE,,
UCgSlWFwG9zKpWpdiCLwHzDA,antitheist,FALSE,,movie trailers
UCajKgpxKwbuhR2PkI7e-WUA,antitheist,FALSE,,
UC2QmeLYMLKdrrqKgkotcg_Q,antitheist,FALSE,,book reviews
UC9xkc8dWgBsFfC7DOJfJLFg,antitheist,FALSE,,92 Y second street
UCZaT_X_mc0BI-djXOlfhqWQ,antitheist,FALSE,,VICE news
UCalnFuBzZTNgK7KfLb857ZQ,antitheist,FALSE,,not English
UCqUcFn1-7AodLMy2q-R_bEQ,antitheist,FALSE,,science and cars
UC8tV0OdXIo1sCw249NQU4HQ,antitheist,FALSE,,translations with Spongebob characters saying it
UCCSwg2n2jqzkfUNotEyCjMA,antitheist,FALSE,,video games
UCVoT8fZqVM44z6huWSaxUIQ,antitheist,FALSE,,Nat Geo UK
UC8uT9cgJorJPWu7ITLGo9Ww,antitheist,FALSE,,old computer stuff
UCvj3hNvwrEgTRkeut7_cBAQ,antitheist,FALSE,,Black prankster
UCZrI2plbxNtLyUCYcGtCxZg,antitheist,FALSE,,transformer
UC3ubu-Wdc4Ka2dY3KuOZ43w,antitheist,FALSE,,ASMR
UCMj4YareOFuEfxUBbncWF9w,antitheist,FALSE,,"Japanese/American, anime, provocative"
UCt9nYeSz90lnOnaVFjxFJzw,antitheist,FALSE,,video games
UCNye-wNBqNL5ZzHSJj3l8Bg,antitheist,FALSE,,
UCLXo7UDZvByw2ixzpQCufnA,antitheist,FALSE,,VOX news
UCCDU1fsmgvWljcW2aodfJsA,antitheist,FALSE,,technology trends
UCeIuImWY9NA05cbRJd4cFIw,antitheist,FALSE,,personal vlog
UCwBV-eg1dAkzrdjqJfyEj0w,antitheist,FALSE,,movies
UC5W4_PXXjXzTwb-pInID2jg,antitheist,FALSE,,not English
UC6LDwTYRfjQwkakw5R95OyA,antitheist,FALSE,,Movies
UC_hK9fOxyy_TM8FJGXIyG8Q,antitheist,FALSE,,morally-correct revenge
UC_qUtVIh3-IAZUaKtsX3IKg,antitheist,FALSE,,Christianity
UCeR0n8d3ShTn_yrMhpwyE1Q,antitheist,FALSE,,
UCvxRpc0UeZOG0iJtwByN4wg,antitheist,FALSE,,not English
UCvlVuntLjdURVD3b3Hx7kxw,antitheist,FALSE,,comedy
UCfdNM3NAhaBOXCafH7krzrA,antitheist,FALSE,,infographics of geopolitical events
UC-dmJ79518WlKMbsu50eMTQ,antitheist,FALSE,,self-help
UC4oVjJptcsvtgIMrdIUQYlQ,antitheist,FALSE,,LADBible TV
UCN-qfPKTQ_Wxr8vZLVfM95w,antitheist,FALSE,,Investing advice
UC7_gcs09iThXybpVgjHZ_7g,antitheist,FALSE,,
UCoiIt_v1D-6z75LmrdIU2aw,antitheist,FALSE,,religious
UCwX4yZNZJJfFvTuvjJLMcVA,antitheist,FALSE,,podcast
UC_ydmw3Q94PkqM3bvQmsGfQ,antitheist,FALSE,,hunting
UCftwRNsjfRo08xYE31tkiyw,antitheist,FALSE,,
UCeMzmEYhXvTvv_GMrps4bcQ,antitheist,FALSE,,not English
UCb0Br0W2JqzNzPLCi_XmoEw,antitheist,FALSE,,tech fixes
UCPdfl4jf-SGRKEu5aCN1W9Q,antitheist,FALSE,,Court
UCLwvhlZyZtYa44jLgzXQvZA,antitheist,FALSE,,scary stuff
UColTtEAb_haChiZvd4E9UWQ,antitheist,FALSE,,"""skeptics"" of things that aren't ""science-based"", but not anti-religion"
UCxi-KnQDOTykOh_tN9i_5fw,antitheist,FALSE,,game show
UCrM7B7SL_g1edFOnmj-SDKg,antitheist,FALSE,,bloomberg tech
UCUMZ7gohGI9HcU9VNsr2FJQ,antitheist,FALSE,,bloomberg quicktakes
UCWo4IA01TXzBeGJJKWHOG9g,antitheist,FALSE,,
UCUk0AvSMU5CJ0wUqJf9TX8g,antitheist,FALSE,,Coleman Hughes (seems political)
UCmzwXVNW_znJ9xImu3yc4cA,antitheist,FALSE,,personal vlogs
UC75rkFTpzXCG-G5OHdsPuFQ,antitheist,FALSE,,Berkeley center for religion
UCkQO3QsgTpNTsOw6ujimT5Q,antitheist,FALSE,,"crazy things (conspiracy theories, crime, construction) explained/story-telling"
UCBiFkVoQLhUHYurdc_78k4g,antitheist,FALSE,,religious
UCb0xfM3HGOsqPYNAocXXNAQ,antitheist,FALSE,,truTV
UCYKh0dYF1LfSTs0pjUb5rcQ,antitheist,TRUE,,The Non-Prophets
UCrKcdCxKrMq_J75BQmvrYBQ,antitheist,FALSE,,dad jokes
UCfG6T9NeKkQ-_sV9hhw3BDw,antitheist,FALSE,,anime fan
UCaSZRYiMQxZ4YHrwIlcIcgw,antitheist,FALSE,,religious
UC3L9XPe0_FGfRG-CMGtBvFg,antitheist,FALSE,,nba
UCgehrd_QxoSaeY8VjzuSpRw,antitheist,FALSE,,New Zealand Today
UCxOzbkk0bdVl6-tH1Fcajfg,antitheist,FALSE,,self-professed beta-males
UCvc-BD2Q_HkIe872B1F7X8g,antitheist,FALSE,,cars
UCe6HP04-Em629E5-mzTxn8A,antitheist,FALSE,,insurance
UCCA9jYYLcoteMaqynrIAylA,antitheist,FALSE,,streetfighting
UCAuUUnT6oDeKwE6v1NGQxug,antitheist,FALSE,,
UCUvm1zr00_n8NOU2OXv_XSQ,antitheist,FALSE,,It's a satirical dog-meat compony to get people thinking about other animals' cuteness and thus stop eating meat
UCO_Ro3UG5WPqwtRjzgBQugQ,antitheist,FALSE,,baseball fan
UCpDkxwpoLyYVE0jzVFMaHpQ,antitheist,FALSE,,natural disasters
UCgjxdOuH84Jn2E5ggnuPKQQ,antitheist,FALSE,,cybersecurity
UCwdLgeKyvBk0pPGjSxqTnAw,antitheist,FALSE,,terminated
UCxXyJLkuVnAclIrCpuxLC6g,antitheist,FALSE,,
UC0q0C_Qc5J4qHF6gjzzwe7g,antitheist,FALSE,,not English
UCsXVk37bltHxD1rDPwtNM8Q,antitheist,FALSE,,
UC4JKpMFBjWG_3xE9BTQpvpw,antitheist,FALSE,,Live Talks LA
UCqi5f-IQ4dpMH1p1alrLhqg,antitheist,FALSE,,book reviews?
UCo8q1BVz59Yepk1QPGKLElA,antitheist,FALSE,,military
UCGwu0nbY2wSkW8N-cghnLpA,antitheist,FALSE,,animations
UCJquYOG5EL82sKTfH9aMA9Q,antitheist,FALSE,,
UCKsrlnoNUVOmFAskzeZdu6A,antitheist,FALSE,,music festivals
UCmwfdgHA_R9fzr1L0_hxdVw,antitheist,TRUE,***,Just one Hitchens interview
UCVepIJedg6BMQeSgjPY4e6A,antitheist,FALSE,,
UCHpw8xwDNhU9gdohEcJu4aA,antitheist,FALSE,,
UCR3kvKM0dxtdWpzGyQk56JA,antitheist,FALSE,,sewing
UCytbI7hXuOSiFoHJQKWEPNg,antitheist,FALSE,,memes
UCukpSBf84ZBdvYzE6219mGA,antitheist,FALSE,,toys
UCcjqSFXBg2cGQg5r0YooMiA,antitheist,FALSE,,not English
UCO5QSoES5yn2Dw7YixDYT5Q,antitheist,FALSE,,science hyper
UCeJFgNahi--FKs0oJyeRDEw,antitheist,FALSE,,Calisthenics (exercise without equipment)
UCdJJ6ldVB2fmBwDtrGJkwtQ,antitheist,FALSE,,Religious
UCk2hNddcrBOJ_vwlFohhP-Q,antitheist,FALSE,,comedy
UClUwJ8Xt_kAQbsh4gM0mTlw,antitheist,FALSE,,music reactions
UC4mLlRa_dezwvytudo9s1sw,antitheist,FALSE,,
UCMewbKz8Q9q5hBbhUHguQGQ,antitheist,FALSE,,TV
UCIPPMRA040LQr5QPyJEbmXA,antitheist,FALSE,,Mr. Beast gaming
UCO8jj_CQwrRRwwwXBndo6nQ,antitheist,FALSE,,Religious (anti-atheist)
UC305pQrBuHzHhR_VdpT9V1Q,antitheist,FALSE,,TV
UCj45-npAUHNE_DCdewrJXRA,antitheist,FALSE,,Commentary for Canadians
UCS5lJMEMWjNoKWQAe-DwwVg,antitheist,FALSE,,idiots in cars
UCGHZpIpAWJQ-Jy_CeCdXhMA,antitheist,FALSE,,science
UCl2mFZoRqjw_ELax4Yisf6w,antitheist,FALSE,,Louis Rossmann
UC-EnprmCZ3OXyAoG7vjVNCA,antitheist,FALSE,,Stanford
UCy2WOudK6eTlvcFN9ik52-A,antitheist,FALSE,,trends
UCREgA-BmOocJ9Is_bZV6aJQ,antitheist,FALSE,,shark tank
UCFxceKSCxIpEYlBKlryO6uw,antitheist,FALSE,,Notre Dame
UCwO-UgquohXwoe7f0e6lMnw,antitheist,FALSE,,old war cartoons
UCBiJBaDaM3K6vPVggLhTyWA,antitheist,FALSE,,drama
UCnr3EWsex2sqeiRg6uQCVjw,antitheist,FALSE,,SEGA games
UCBLDgiZoqfB2JUniOmozUow,antitheist,FALSE,,games
UCtY2skgsLSeZhrkY-4KVNkg,antitheist,FALSE,,anime
UCKsP3v2JeT2hWI_HzkxWiMA,antitheist,FALSE,,self-help
UCyGOloOIJWt8NlE4tnejQeA,antitheist,FALSE,,
UCya1p9Yc837fQDFz6thUQPg,politics-left,FALSE,,fisher
UCFyAgi9phA7ErVY_bPC1Cjg,politics-left,FALSE,,inspiration
UC-KZwHihUe-cTWIYbRygi2g,politics-left,FALSE,,tik toks
UCmuTmpLY35O3csvhyA6vrkg,politics-left,FALSE,,about south america
UCVdGX3N-WIJ5nUvklBTNhAw,politics-left,FALSE,,Christian
UCBa659QWEk1AI4Tg--mrJ2A,politics-left,FALSE,,travel crazy guy
UCE7GmAYeBVgqDItdX2ihuHQ,politics-left,FALSE,,tiny house
UCy4GzuhJDmDkfoid2HjoCww,politics-left,FALSE,,music
UCDDEDFEdJTwIyjtIokazdgQ,politics-left,FALSE,,family vlog
UCgB-DTe_09G912uVtD-c2bA,politics-left,FALSE,,school subjects
UC_IRYSp4auq7hKLvziWVH6w,politics-left,FALSE,,pixar
UCVp0APrnpVvKN1yqUE--sZA,politics-left,FALSE,,diver/sailor
UCZaT_X_mc0BI-djXOlfhqWQ,politics-left,TRUE,,
UCOCgB3xd-B-1qAm-hR9OLrA,politics-left,FALSE,,Halsey
UCl2mFZoRqjw_ELax4Yisf6w,politics-left,FALSE,,
UC8tV0OdXIo1sCw249NQU4HQ,politics-left,FALSE,,
UCffJ1FVezQOjDWSlJSLZRUw,politics-left,FALSE,,film editor
UC89AgkG34oooZubVt23wzFw,politics-left,FALSE,,retrying marvel tech
UCJ24N4O0bP7LGLBDvye7oCA,politics-left,FALSE,,
UC4SUWizzKc1tptprBkWjX2Q,politics-left,TRUE,,South China Morning Post
UCQOsmfIAmCALzuRbOWkSQvQ,politics-left,FALSE,,business news
UC6lp4JxsAWF4gz3GppKN7Cg,politics-left,FALSE,,bricklaying
UCLakgargUsoarYT51V9mPpw,politics-left,FALSE,,not English
UCMrfDq1wSfY6BHCy2q12Asg,politics-left,FALSE,,Palestinian terrorism victim but not current events
UC_VF2_jyYpEYYvF-DuTAuCw,politics-left,FALSE,,cancer research/survival
UCPx-hriR__bcFrT-QhfvSxw,politics-left,FALSE,,old lady health/fitness
UCSs9Mm6Ad7iPRtQYIW1Lf6g,politics-left,FALSE,,gaming
UCLxsRHiZkmOgT0gpUQiKS4A,politics-left,FALSE,,culture commentary
UCVrhQjwM5l7QsX28tJivAzA,politics-left,FALSE,,Greek fest
UCsLgKKiv8kDDGy1stC8BxVA,politics-left,FALSE,,not English
UCyGOloOIJWt8NlE4tnejQeA,politics-left,FALSE,,
UCq0VNPiFtr3ihDewjtkZXBQ,politics-left,FALSE,,traveler
UCwsjrSWqxLdcZrd9xVpmxog,politics-left,FALSE,,prankster
UC-3e3hAUhDV2lwcoQGD2grg,politics-left,FALSE,,Microsoft Office
UC5KYt-zf3M1VYj4IeJ5S1Aw,politics-left,FALSE,,Tik Tok
UCYenDLnIHsoqQ6smwKXQ7Hg,politics-left,FALSE,,
UCmmqVuFMva-PXvotPeLnqvw,politics-left,FALSE,,city club of Chicago
UCTZzI5aeG1pp511XUwKeBWA,politics-left,FALSE,,piano
UCzSSoloGEz10HALUAbYhngQ,politics-left,FALSE,,
UCIOGCEG14rj9GpIFhszkWoQ,politics-left,FALSE,,gun
UC1f-c-ZOhVjTM8p21FM3ktQ,politics-left,FALSE,,food bank
UCwv20QNaYiEJu3c5a8DNyHQ,politics-left,FALSE,,no videos
UCkzaJDHBKbcaNatH_T00ieg,politics-left,FALSE,,movie
UCDFLiE2iGUvlZMmhemzy6eA,politics-left,FALSE,,NBC4 Columbus leased bias in MBFC
UCxXvsZHmJeVbRtperXzsNvA,politics-left,FALSE,,not English
UCIPvxxHtvyQ4fSTj5JWpzog,politics-left,FALSE,,
UChmXcqY07tdLJsxUTfk_PvA,politics-left,FALSE,,not English
UCN-qfPKTQ_Wxr8vZLVfM95w,politics-left,FALSE,***,"financial advice but others' words (Kiyosaki, Dalio)"
UCYzEMRKqrh01-tauv7MYyVQ,politics-left,FALSE,,anime
UC7kjk77Ma9xU9WMMgQcZSog,politics-left,FALSE,,tech
UCarpqAWmTDGkYyJj5syhAxA,politics-left,FALSE,,WGRC Buffalo News- leased biased on MBFC
UC8pKJFXl5JCz8_pBHt9_4FQ,politics-left,FALSE,,
UCjX3_7CKw2IdjyxyJG3sRbw,politics-left,FALSE,,boxing
UCrPseYLGpNygVi34QpGNqpA,politics-left,FALSE,,
UCrZ6_xyFBlvo2uYoBtG01eg,politics-left,FALSE,,not English
UCxcrzzhQDj5zKJbXfIscCtg,politics-left,TRUE,,ABC News in-depth
UC_9SjsqyO87d4aZkEqNuHBA,politics-left,FALSE,,stronger by science
UCKjU3KzdbJE1EFcHVqXC3_g,politics-left,TRUE,***,left on MBFC (CBC Canadian news)
UCuFFtHWoLl5fauMMD5Ww2jA,politics-left,TRUE,,CBS news
UCcB1n8HLXZG38WZu_jWsu_A,politics-left,FALSE,,vlogs
UCpVm7bg6pXKo1Pr6k5kxG9A,politics-left,FALSE,,national geographic
UCZYjqpWJMjXdZ4t7jUJ7CtA,politics-left,FALSE,,drum
UCS3fABtAw1DhdB0AR3f4aYw,politics-left,FALSE,,clash of clans
UCloVA-23TIXvSRfddW_k2UA,politics-left,FALSE,,movies
UCK-6FjMu9OI8i0Fo6bkW0VA,politics-left,TRUE,,Democracy at work
UCKpNQmsSrgVRw66EcpDwMvg,politics-left,TRUE,,"talks about Marx, anti-capitalism, and unions"
UCLHU6ECVSZbzgcpd113Jk4Q,politics-left,TRUE,,gov. Andrew Cuomo
UCDjwdhrPW_MPEleDnPXOYTA,politics-left,FALSE,,pianist
UCF2v8v8te3_u4xhIQ8tGy1g,politics-left,FALSE,,business guru
UCtu8MkufmVgxS8_Ocl7mMig,politics-left,FALSE,,Food of different countries
UCF6R1ZDskjCeBMomUGCtxXw,politics-left,FALSE,,sleep aids
UCBhNf3uDB4pFuww29O_wAJQ,politics-left,FALSE,,tik toks
UCbUbK8izjK3zNRyrIHI39ng,politics-left,TRUE,,left on MBFC
UCSM4SXs2PUlK8tU1kCiqcWg,politics-left,FALSE,,real estate reports
UCDusUiO-4lThTZhHQ4lLogw,politics-left,FALSE,,not English
