,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
topic,alt-right,alt-right,alt-right,antitheist,antitheist,antitheist,politics-left,politics-left,politics-left,politics-right,politics-right,politics-right
metric,off_topic,on-topic watched-channel,on-topic new-channel,off_topic,on-topic watched-channel,on-topic new-channel,off_topic,on-topic watched-channel,on-topic new-channel,off_topic,on-topic watched-channel,on-topic new-channel
component,,,,,,,,,,,,
homepage,79%,16%,5%,60%,18%,23%,72%,2%,26%,70%,9%,21%
videopage,95%,5%,0%,63%,9%,29%,58%,13%,29%,72%,19%,9%
