CHANNEL_ID,CHANNEL_TITLE,CHANNEL_VIEWS,COUNTRY,RELEVANCE,SUBS,CHANNEL_LIFETIME_DAILY_VIEWS,CHANNEL_LIFETIME_DAILY_VIEWS_RELEVANT,CHANNEL_VIDEO_VIEWS,RELEVANT_IMPRESSIONS_DAILY,RELEVANT_IMPRESSIONS_IN_DAILY,VIDEO_VIEWS_DAILY,RELEVANT_VIDEO_VIEWS_DAILY,AVG_MINUTES,FROM_DATE,TO_DATE,LR,TAGS,IDEOLOGY,MEDIA,LOGO_URL
UCfBqD12IIXjPORycn87MPAg,UtooB Heavenbound,15137774,,1,19400,5412.350250,5412.350250,15143756,241.761088077,7.679346671,361.61662531,361.61662531,13.991736,2013-09-27T00:00:00.0000000Z,2021-05-26T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AAUvwngJyBdb1pX-Lv3x2KRAoYdY5jN1hgkLXzPVXGz_hw=s88-c-k-c0x00ffffff-no-rj
UC3JSUBUku4_irxnEbYs3N_A,Powerful LOS,8843418,US,0.9,87500,15869.499538,15869.499538,17186668,40971.785945267,46061.712997671,19510.6191067,17559.55719603,37.720000,2019-01-28T00:00:00.0000000Z,2022-01-15T00:00:00.0000000Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLQl45dAasE6a92dYdt_yf6iP8inx7mJlr10t9aZ=s88-c-k-c0x00ffffff-no-rj
UCJuHKSaD0o7mX6jSbvisnvg,Dan Bongino,120884575,US,1,869000,84464.263340,84464.263340,121881932,314208.697744691,14277.270536814,107449.576923077,107449.576923077,58.659555,2018-02-01T00:00:00.0000000Z,2022-01-14T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AKedOLSpyaSVIGRGMfqsq1Sp0dFgjEE6L8ic05zq1cWhLA=s88-c-k-c0x00ffffff-no-rj
UCS2ABQhdHon3-4cNBCtl1xQ,Nicole Jones,1038,,0.8,28400,19.653846,19.653846,1022,1.29481604,0.1748092605,1.267990074,1.01439206,3.500000,2020-01-27T00:00:00.0000000Z,2020-03-19T00:00:00.0000000Z,C,[],Unclassified,YouTube,https://yt3.ggpht.com/ytc/AKedOLQ6QFM8MKVpGcwjfGqvcn0KNX3PZ9fCyBN3hFCVLA=s88-c-k-c0x00ffffff-no-rj
UCtpfIuNZKBQRQ8WERQVt6FQ,ODD TV 2,948895,US,1,34500,665.607698,665.607698,985765,109.198694901,10.700587605,265.930521092,265.930521092,27.900000,2016-04-27T00:00:00.0000000Z,2020-05-17T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLTlk1XVmeI8HAhBhJl6K3FmynL2vgI3NqxW9QMShg=s88-c-k-c0x00ffffff-no-rj
UCHcWJMiqQ6MwXw_3V-EbKAg,"S4C Global Community Church ,Soldiers For Christ",6614533,US,1,29500,1435.949031,1435.949031,6592442,5511.978528908,3456.42244445,4649.245657568,4649.245657568,26.230815,2009-06-20T00:00:00.0000000Z,2022-01-14T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLQTEC7sTJiqFmAAxSCisA8wzCg_TtOOb_CCgtqfJw=s88-c-k-c0x00ffffff-no-rj
UCjaoF4fmimMh0tqqTv0dlPg,Meisha Art,2011513,,0.8,27100,3188.199683,3188.199683,2011754,3.880645052,3.873449233,145.356079404,116.284863524,9.415730,2017-09-02T00:00:00.0000000Z,2019-05-26T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLTH2VypC1bAiZCeFpiM40QOVQtKYqFT5wenYPWh7w=s88-c-k-c0x00ffffff-no-rj
UC-CbNP83LhRcaJTByOGMJjQ,Video Primordial,4599551,,0.9,10000,20219.468619,20219.468619,4832453,68.405508994,0,525.333746898,472.800372208,1.937500,2015-12-23T00:00:00.0000000Z,2016-08-18T07:26:41.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLRJrGlIZAgDndkIPo8XLWWOXTA6LfvH27fQ5A=s88-c-k-c0x00ffffff-no-rj
UCZz8q2tZC7QuQiFwPKQ4Bug,TFIglobal,195444231,IN,1,382000,313900.867742,313900.867742,194618538,614712.648580062,192770.718935405,241098.033498759,241098.033498759,5.148148,2020-05-05T00:00:00.0000000Z,2022-01-15T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/pUyBDXsH2DnLuqB3Zo9p5Ar3Y-yQ6FtWO2FDq7NC8yimPTFvBKxshlJbNO8f1FhK8zcGTK1z=s88-c-k-c0x00ffffff-no-rj
UCle0Wj0sQPJF4MeJeZKQQmw,We Are The New Media,2114906,,0.95,41600,31566.208955,31566.208955,2114936,3.851560189,0.4798827289,3.138957816,2.982009926,8.037037,2011-04-02T00:00:00.0000000Z,2011-06-08T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AKedOLQuORPXFwrFbN_Ocniu9GQ0YvHUgOfZfYdAzN0S=s88-c-k-c0x00ffffff-no-rj
