(the)atlantic 
business insider 
cbc news
engadget
feminist frequency 
glamour magazine 
global citizen 
global news 
hollywood reporter 
la times
lifehacker
new york daily news 
rolling stone
san francisco globe 
scoopwhoop 
scroll.in
sky news 
techcrunch
the guardian
the verge
vice news 
washington post 
wired magazine 
yahoo news
