channel_id,alt-right,antitheist,politics-left,politics-right
https://www.youtube.com/channel/UC0zYnUkhLrSqARPjfLFUn1w,,False,False,
https://www.youtube.com/channel/UC10QThQSVbvlL-qFgDJiT8A,,,,False
https://www.youtube.com/channel/UC12E3RFoZzw873OfYoXi55A,False,,,
https://www.youtube.com/channel/UC12lU5ymIvSpgl8KntDQUQA,,,False,
https://www.youtube.com/channel/UC13mSI38YWz5zfvxXDPpePA,False,,False,False
https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA,,False,True,False
https://www.youtube.com/channel/UC176GAQozKKjhz62H8u9vQQ,False,,False,
https://www.youtube.com/channel/UC18ju52OET36bdewLRHzPdQ,False,,,
https://www.youtube.com/channel/UC193r5YXcpQJV34N99ZbhzQ,,,,True
https://www.youtube.com/channel/UC1JAwKeDUjN2orv5t7LWODQ,,,,False
https://www.youtube.com/channel/UC1V2kcj7gqiA5p4yNU4ahrw,,,,False
https://www.youtube.com/channel/UC1VzCyqpmCaRh8_BnijbOvg,,False,,
https://www.youtube.com/channel/UC1W8ShdwtfgjRHdbl1Lctcw,False,False,,
https://www.youtube.com/channel/UC1X4UdGRwOqD7lsJnSDbIzA,,False,,
https://www.youtube.com/channel/UC1X9HTMhyL4UpmjgkrN41oQ,False,,,
https://www.youtube.com/channel/UC1YqxUTsDsMMkRO1-RugP0A,,,False,
https://www.youtube.com/channel/UC1_KPue8b1ZrHekaTkJucDQ,,,False,
https://www.youtube.com/channel/UC1_up347GdfKBDVGqwjt7Aw,,,False,
https://www.youtube.com/channel/UC1bjWVLp2aaJmPcNbi9OOsw,False,False,,
https://www.youtube.com/channel/UC1dVfl5-I98WX3yCy8IJQMg,,False,False,False
https://www.youtube.com/channel/UC1f-c-ZOhVjTM8p21FM3ktQ,,,False,
https://www.youtube.com/channel/UC1gSxXwxoIxIt9doAapuueg,,True,,
https://www.youtube.com/channel/UC1kIQd28e5DfAFM6sZHeirg,,,False,
https://www.youtube.com/channel/UC1nWsbmbfj_MJ4l-njbiJ4A,,,False,
