topic,alt-right,alt-right,alt-right,antitheist,antitheist,antitheist,politics-left,politics-left,politics-left,politics-right,politics-right,politics-right
,off-topic,on-topic scrubbed,on-topic new,off-topic,on-topic scrubbed,on-topic new,off-topic,on-topic scrubbed,on-topic new,off-topic,on-topic scrubbed,on-topic new
strategy,,,,,,,,,,,,
watch,92%,8%,0%,80%,14%,6%,82%,2%,16%,82%,6%,12%
delete,100%,0%,0%,72%,18%,10%,100%,0%,0%,98%,2%,0%
dislike,98%,2%,0%,84%,10%,6%,76%,0%,24%,84%,2%,14%
not-interested,100%,0%,0%,98%,0%,2%,98%,0%,2%,100%,0%,0%
no-channel,94%,0%,6%,84%,2%,14%,92%,0%,8%,74%,0%,26%
dislike-recommendation,92%,2%,6%,92%,0%,8%,82%,0%,18%,76%,4%,20%
